ID,Why_Stopped,Enrollment_Count,Primary_Outcome_Measure
PASCA,,858,"Incidence of social precariousness, Change from Baseline return to work issues incidence at 60 months, Change from Baseline cognitive problems incidence at 60 months, Change from Baseline anxiety crises incidence at 60 months, Change from Baseline depressive events incidence at 60 months, Change from Baseline chronic fatigue incidence at 60 months, Change from Baseline physical deconditioning incidence at 60 months, Change from Baseline overweight/obesity incidence at 60 months, Change from Baseline chronic pain incidence at 60 months, Change from Baseline dermatological disorders incidence at 60 months, Change from Baseline gastrointestinal disorders incidence at 60 months, Change from Baseline sexual disorders incidence at 60 months, Change from Baseline hypogonadism incidence at 60 months, Change from 24 months premature ovarian failure incidence at 60 months, Change from Baseline osteoporosis incidence at 60 months, Change from Baseline chronic kidney failure incidence at 60 months, Change from Baseline heart failure incidence at 60 months, Change from Baseline coronary heart disease incidence at 60 months, Change from Baseline respiratory failure incidence at 60 months, Change from Baseline hypothyroidism incidence at 60 months, Change from Baseline lymphedema incidence at 60 months, Change from Baseline second primary cancers incidence at 60 months"
H-49731,,340,"Patient Activation Measure (PAM), Instrument to measure Self-Management (IMSM)"
BrUOG 390,,1,Determine the preliminary effectiveness of Talazorparib
EC/2018/0315,,300,"Degradation products of the Amyloid metabolism in blood, Degradation products of the Amyloid metabolism in blood, Degradation products of the Amyloid metabolism in blood, Degradation products of the Amyloid metabolism in blood, Degradation products of the Amyloid metabolism in blood, Degradation products of the Amyloid metabolism in blood, APOE-genotyping in blood, identify BACE1 in blood"
CIMS-2019-01,,72,"Evaluate 4FMFES-PET diagnostic properties in endometrial and ovarian cancers, Compare 4FMFES-PET with standard FDG-PET in gynaecological cancers., Use pharmaceutical intervention to slow down peristalsis to improve lower-abdomen 4FMFES-PET"
XL102-101,,298,"Dose-Escalation Stage: MTD/recommended dose for XL102, Cohort-Expansion Stage: Objective Response Rate (ORR)"
Dnr 2019-04151,,200,"Health-related quality of life, Health-related quality of life"
2021-001624-17,,390,"Mammographic breast density, Endometrial pathology"
GCO 21-0012,,1705,Change in Clinical Trial Accrual
2018-0004,,80,"Rate of wound dehiscence, Wound healing complications"
TJ-IRB20211129,,100,SUVmax
823981A,,7,"Composite quality score, Episode cost, Utilization of acute and specialty care"
NIT-110 (KEYNOTE PNA60),,238,"Phase 1b: Safety and Tolerability of NT-I7 in Combination With Pembrolizumab to Determine the Maximum Tolerated Dose (MTD) and/or the Recommended Phase 2 Dose (RP2D) of NT-I7, Phase 1b: Safety and Tolerability of NT-I7 in Combination With Pembrolizumab to Determine the Maximum Tolerated Dose (MTD) and/or the Recommended Phase 2 Dose (RP2D) of NT-I7, Phase 2a: Preliminary Assessment of the Objective Response Rate (ORR) of NT-I7 in Combination with Pembrolizumab, Biomarker Cohort: Number of Tumor-Infiltrating Lymphocytes (TILs), Biomarker Cohort: Distribution of Tumor-Infiltrating Lymphocytes (TILs), Biomarker Cohort: Phenotype of Tumor-Infiltrating Lymphocytes (TILs)"
69HCL19_0731,,16,Identify the obstacles to the early diagnosis of cancer in patients over 75 years old suffering from cancer.
BT-001.01,,48,"Phase I: Safety and tolerability (Adverse Event reported per NCI-CTCAE v5.0), Phase I, Part A: Recommended dose for Part B (RDPB) definition, Phase IIa (except Soft Tissue Sarcoma cohort): Immune Overall Response Rate (iORR) by iRECIST, Phase IIa (Soft Tissue Sarcoma cohort): Immune Disease Control Rate (iDCR) at 6 months by iRECIST"
EAQ161CD,,201,"Presence of reflexive testing protocols for guideline-recommended biomarkers, Average turnaround time of no more than 10 business days for combined EGFR and ALK results reporting in lung cancer, Factors influencing heterogeneity of capacity for biomarker testing, from among modifiable testing practice-related factors, e.g. cost, complexity, technologic complexity, lack of familiarity, physician and patient demand"
Pro00106186,,3,Identify facilitators and barriers that impact staff uptake for implementation of practice change involving ipsilateral IV insertion in patients with axillary lymphadenectomy/dissection.
G-5097-2019,,57,Evaluation of the Apfel risk score before surgery
Laser treatment,,160,Visual analogue score on vaginal symptoms
NIMAO/2016/PC-01,,30,"Change in concentration of total mutant circulating DNA, Change in proportion of mutant circulating DNA, Change in integrity index of circulating DNA for ACTB gene, Change in integrity index of circulating DNA for KRAS gene"
IIT-2021-CANINE,,500,"Geometric mean titer (GMT) with corresponding 95%confidence interval (CI) at each time point of the entire population and individually of all cohorts, Geometric mean titer (GMT) with corresponding 95% CI at each time point of the entire population and individually of all cohorts, Geometric mean titer (GMT) with corresponding 95% CI at each time point of the entire population and individually of all cohorts, Geometric mean fold rise (GMFR) with corresponding 95% CI at each post-baseline timepoint over preinjection baseline, Geometric mean fold rise (GMFR) with corresponding 95% CI at each post-baseline timepoint over preinjection baseline, Geometric mean fold rise (GMFR) with corresponding 95% CI at each post-baseline timepoint over preinjection baseline"
PROICM 2017-05 BAL,,620,Estimation of the feasibility of the various blood tumoral biomarkers analysis
Breast Biopsy,,60,"initial state anxiety level, change anxiety level, initial readiness level, pain level, Satisfaction level with the procedure, Satisfaction level with the education, change readiness level"
2018P000084,,152,"Change in Tissue thickness (measured in millimeters)., Change in Anatomic landmark position (measured in centimeters)"
IRB00167074,,156,12-month Breast sensation as assessed by the AcroValTM device
GOP,,100,compare rate of ovarian failure at 1 year between the two treatment groups
NIP IT!,,500,Change from Baseline in ctDNA collected from biospecimens
CDKY709A12101C,,99,"Safety of DKY709 single agent treatment or DKY709 in combination with PDR001., incidence of Dose Limiting Toxicities (DLTs), Tolerability of DKY709 single agent treatment or DKY709 in combination with PDR001."
IRB#21-001169,,240,Daily peak pain scores on an 11-point numeric rating scale [0-10]
PRO 1676,,500,Compare the duration of actual vs. intended treatment for cancer patients on capecitabine who are prescribed capecitabine with sensor.
Pro00102260,"Initially suspended due to Covid-19. After much consideration, it was determined that we do not have the bandwidth to resume recruitment or any activities for this project.",4,"Patient Adherence, Patient Blood Pressure, Primary Care Provider Activation, End of Study Patient Blood Pressure - Within Target Levels, End of Study Patient Blood Pressure - Outside of Target Levels"
19829,,14,"Dose escalation: Incidence of TEAEs including TESAEs, Dose escalation: Severity of TEAEs including TESAEs, Dose escalation: Frequency of DLTs at each dose level, Dose expansion: ORR by RECIST 1.1 based on Investigator review, Dose expansion: Frequency of TEAEs, Dose expansion: Severity of TEAEs"
00011271,Futility in recruitment,3,Physical activity volume
CE3220.,,35,Prevention of grade 2.5 RTOG radiodermatitis
METCZ20220056,,300,Surgical complications
RC31/17/0350,,84,Proportion in percentage of patients treated successfully
19-179,,48,Cognitive difficulties as measured by the Functional Assessment of Cancer Therapy - Cognitive Function (FACT-Cog)
180276,,101,Patient Reported Measures From Interpersonal Processes of Care Survey
213353,The study will not resume based on the results of a planned interim analysis that showed futility,41,"Objective Response Rate (ORR) in Participants With Platinum-resistant Ovarian Cancer (PROC), ORR in Participants With PROC Who Have Programmed Cell Death-ligand 1 (PD-L 1) Positive Status"
ebeddows,,40,Improvement in pain from baseline at eight weeks as measured by the change in Neuropathic Pain Scale (NPS)
IFCT-1703,,46,Overall Response
69HCL17_0642,,220,Measurement of mechanical strength of tumor proximal femur or tumor vertebrae obtained by numerical simulation using the finite element analysis (FEA) method.
CS001-SA,,24,Maximum Tolerated Dose
MSK8/22,,64,Forced Expiratory Volume in 1 second (FEV1)
JAB-2485-1001,,102,"Dose Escalation phase: Number of participants with dose limiting toxicities (DLTs), Dose Escalation phase: Number of participants with adverse events (AEs), Dose Expansion phase: Objective Response Rate (ORR), Dose Expansion phase: Duration of Response (DOR)"
PVMEDCT202201,,500,"DICE, contouring time"
BA3021-001,,420,"Phase 1: Safety Profile, Phase 1: Safety Profile, Phase 1 and 2: Safety Profile, Phase 2: Confirmed Objective Response Rate (ORR)"
2020-05-001B,,120,"Post-operative opioid use, Post-operative opioid use, Post-operative opioid use, Post-operative opioid use, Post-operative opioid use, Post-operative opioid use, Post-operative opioid use"
13104,,106,"Hematoma, Seroma"
PRT2527-01,,30,"Dose limiting toxicities (DLT) of PRT2527, Maximally tolerated dose (MTD) of PRT2527, Recommended phase 2 dose (RP2D) and schedule of PRT2527"
RECHMPL22_0024,,63,CTC-AXL measurement concordance rate
120134,"Study details changed, new Trial Registration process begun for modified protocol",0,Postoperative Surgical Site Infection (SSI)
21-369,,200,Average Fatigue Severity from the Brief Fatigue Inventory (BFI)
Pro00078230,,48,Dermatomal spread of sensory blockade
18-000948,,40,Percent change in hot flash frequency
20-08,,5400,"Clinically acceptable image quality of the Investigational Device., Mammograms can be safety acquired on the Investigational Device."
AP2001-50504,,60,Total morphine consumption for 24 hours post operatively
FMBSURECS/30042019/Ali,,40,time to first analgesic requirements in minutes
21-192,,30,Patient Experience Comparison
SBT6290-101,Sponsor decision based on strategic re-alignment,0,"Number of Participants With Dose Limiting Toxicities: Part 1 and Part 3, Number of Participants With Treatment-emergent Adverse Events: All Parts, Number of Participants With an Objective Response Rate: Part 2 and Part 4, Duration of Response for Participants With an Objective Response Rate: Part 2 and Part 4"
SAHZhejiangU 123,,500,CEUS
CRYO for Mastectomy (DoD),,216,"Opioid consumption during first 2 postoperative months, Average pain during first 2 postoperative months"
FMASUMD45/2021,,100,Incidence of cancer therapy related cardiac dysfunction among the two groups
PT3465,,70,"Shoulder range of motion, Shoulder range of motion, physical function, physical function, Health-related quality of life, Health-related quality of life"
Lishui Peoples Hospital,,30,Adverse events that are related to treatment
HAN2014005-CT02,,80,pH value change
SHEBA-19-6136-RS-CTIL,,30,"Incidence of Treatment-Emergent Adverse Events (Safety) of IA therapy with plasma volume escalation (increase from 2X to 3X plasma volume processed): adverse events, Incidence of Treatment-Emergent Adverse Events (Safety and tolerability) of IA therapy in combination with nivolumab: adverse events, Column efficiency, Column biochemical effectiveness"
2021/01159,,10,"QPOP applicability: percentage of participants with successful application of QPOP drug selection., CURATE.AI applicability: percentage of participants in whom the investigators successfully apply CURATE.AI profile."
GS-US-417-5937,,27,"Pharmacokinetic (PK) Parameter: AUClast of ATV, PRA, and ROS, PK Parameter: AUCinf of ATV, PRA, and ROS, PK Parameter: Cmax of ATV, PRA, and ROS"
SOGUG-2016-A-IEC(PRO)-12,,16,Radiographic progression free survival (rPFS)
CCR5653,,450,Qualitative image comparison
PPP005-Ph2/3-01,due to mycotoxin potential contamination of one lot of study drug,100,"Cancer pain intensity assessed by Pain Intensity (PI) measurement a numerical rating scale, Cancer pain quality using the Brief Pain Inventory-SF (BPI-SF)"
