ID,title,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device
DCC-2036-01-003,A Phase 1b/2 Study of Rebastinib (DCC-2036) in Combination With Paclitaxel in Patients With Advanced or Metastatic Solid Tumors,"Active, not recruiting",Interventional,"Experimental, Experimental","Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No
E-19-3943,Erector Spina Plane Block Versus Deep Serratus Anterior Plane Block for Post Mastectomy Analgesia,Completed,Interventional,"Active Comparator, Active Comparator","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No
CASE6118,Free Flap Breast Reconstruction Using Virtual Surgical Planning and 3-D Modeling,"Active, not recruiting",Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
MCART-006,Dual-targeting VEGFR1 and PD-L1 CAR-T for Cancers Patients With Pleural or Peritoneal Metastases,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,No,No
PRO1184-001,PRO1184 for Advanced Solid Tumors,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,"Phase 1, Phase 2",Yes,No
ONC-392-001,"Safety, PK and Efficacy of ONC-392 in Monotherapy and in Combination of Anti-PD-1 in Advanced Solid Tumors and NSCLC",Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No
BPI-2358-105 phase 3,Plinabulin vs. Pegfilgrastim in Patients With Solid Tumors Receiving Docetaxel Myelosuppressive Chemotherapy Phase 3,Completed,Interventional,"Active Comparator, Experimental","Drug, Drug, Other, Other",Parallel Assignment,Phase 3,Yes,No
HCC 20-064,Telehealth and Memory Study,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
E-19-773,"A Randomized Controlled Trial to Evaluate the Efficacy of Acupuncture Versus Aromatherapy as Treatments to Lessen Nausea, Vomiting and Anxiety Associated With Adriamycin and Cytoxan",Recruiting,Interventional,"Experimental, Experimental, No Intervention","Other, Other",Parallel Assignment,Not Applicable,No,No
STUDY00003387,Exercise and Nutrition Interventions During Chemotherapy K07,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Phase 2,No,No
MCART-002,Dual-targeting HER2 and PD-L1 CAR-T for Cancers With Pleural or Peritoneal Metastasis,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,Early Phase 1,No,No
SBT6050-201,A Safety and Activity Study of SBT6050 in Combination With Other HER2-directed Therapies for HER2-positive Cancers,Terminated,Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",Yes,No
ARRAY-818-103,Pharmacokinetic Drug-drug Interaction Study of Encorafenib and Binimetinib on Probe Drugs in Patients With BRAF V600-mutant Melanoma or Other Advanced Solid Tumors,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug, Drug",Sequential Assignment,Phase 1,Yes,No
MC210302,Effects of Probiotics on the Gut Microbiome and Immune System in Operable Stage I-III Breast or Lung Cancer,Recruiting,Interventional,Experimental,"Procedure, Procedure, Drug, Procedure",Single Group Assignment,Early Phase 1,Yes,No
QSPainRelief-patientCNS,"QSPainRelief-patientCNS : Clinical Biomarkers of Nociception, Sedation and Cognition",Not yet recruiting,Interventional,Experimental,"Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Other",Single Group Assignment,Not Applicable,No,No
CARTIER,Cardiovascular Prevention Strategies in Elderly Patients With Cancer (CARTIER Clinical Trial),Recruiting,Interventional,"Experimental, Other","Other, Other",Parallel Assignment,Not Applicable,No,No
The Swedish DIRECT study,Direct Information to At-risk Relatives,Enrolling by invitation,Interventional,"Active Comparator, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No
CKAF156A2104,"Drug-drug Interaction Study of Ganaplacide and Lumefantrine With Midazolam, Repaglinide, Dextromethorphan, Metformin, Rosuvastatin and Dolutegravir",Completed,Interventional,"Experimental, Experimental","Drug, Drug, Drug, Drug, Drug, Combination Product, Drug, Drug, Drug, Combination Product",Sequential Assignment,Phase 1,No,No
Elasto Trial,Comparison of Real-time and Shear Wave Elastography,"Active, not recruiting",Interventional,"Active Comparator, Active Comparator","Diagnostic Test, Diagnostic Test",Sequential Assignment,Not Applicable,No,No
N201810002,Spirulina (FEM-102) Supplement to Chronic Hepatitis B Patients,Completed,Interventional,"Other, Experimental, Experimental",Dietary Supplement,Parallel Assignment,Not Applicable,No,No
MastoVit150,Possibilities of Phytomedicine in Monotherapy of Benign Breast Diseases,Completed,Interventional,"Experimental, No Intervention",Drug,Parallel Assignment,Phase 4,No,No
CASE1219,Incomplete Follow Up After Positive FIT or Stool DNA Testing: A Multimethod Approach,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
RELI/19/Der-Rdt/001,Efficacy and Tolerability Evaluation of a Topical MD Based on SHBF in Management of Radiodermatitis.,Completed,Interventional,"Experimental, Active Comparator","Device, Device",Parallel Assignment,Not Applicable,No,No
GS-US-467-5643,"Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of GS-9716 as Monotherapy and in Combination With Anticancer Therapies in Adults With Solid Malignancies",Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug",Sequential Assignment,Phase 1,Yes,No
PRO00031416,Men Moving Forward: A Lifestyle Program for African-American Prostate Cancer Survivors,Recruiting,Interventional,"Experimental, Other",Behavioral,Parallel Assignment,Not Applicable,No,No
7635,Cannabinoids for Taxane Induced Peripheral Neuropathy,Terminated,Interventional,"Experimental, Placebo Comparator",Drug,Parallel Assignment,Phase 2,Yes,No
VAC for HPV,Video-Assisted Counseling for HPV Vaccination,Unknown status,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No
ONCB-006-19F,Leucoselect Phytosome for Neoadjuvant Treatment of Early Stage Lung Cancer,Not yet recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No
70781,Novel Precision Medicine Approach to Treatment of Osteoporosis Based on Bone Turnover,Recruiting,Interventional,"Active Comparator, Active Comparator, Active Comparator","Drug, Drug",Parallel Assignment,Phase 4,Yes,No
1407426,Family History Study on Cancer Risk,Recruiting,Interventional,"Other, Experimental, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No
PRS-343-PCS_08_18,PRS-343 in Combination With Atezolizumab in HER2-Positive Solid Tumors,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No
NL72939.078.20,Bilateral Prophylactic Mastectomy; Should we Preserve the Pectoral Fascia?,Recruiting,Interventional,"Other, Other",Procedure,Parallel Assignment,Not Applicable,No,No
HCI105691,Fatigue Interventions in Cancer (Exercise Intervention),"Active, not recruiting",Interventional,"Experimental, Experimental","Behavioral, Behavioral",Parallel Assignment,Phase 2,No,No
AP2007-50104,Comparison of Duloxetine Versus Pregabalin,Unknown status,Interventional,"Active Comparator, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No
PRO00032593,Virtual Reality Education Program to Reduce Anxiety During Radiation Therapy,Terminated,Interventional,"Active Comparator, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No
H00020209,Dotarem vs Gadobutrol Contrast for Breast MRI,Recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug",Parallel Assignment,Phase 4,Yes,No
BG01-2002,Clinical Study of Utidelone Injection in Patients With Advanced or Metastatic Solid Tumors,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental",Drug,Parallel Assignment,Phase 2,No,No
Rhomboid,Analgesic Effects of Rhomboid Block,Recruiting,Interventional,"Experimental, Experimental, Sham Comparator","Procedure, Procedure, Procedure",Parallel Assignment,Not Applicable,No,No
GC101 TIL-ST-01,A Phase I Study on Autologous Tumor Infiltrating Lymphocytes Injection (GC101 TIL) for the Treatment of Advanced Malignant Solid Tumors,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental",Drug,Parallel Assignment,Phase 1,No,No
IM014-032,Study to Assess the Effect of Branebrutinib on the Drug Levels of Rosuvastatin in Healthy Participants,Completed,Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug",Single Group Assignment,Phase 1,Yes,No
CEEGOG EX-02,Tracers for Endometrial Cancer Sentinel Node Labeling,Recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No
93 /1801/2021,Lifting Effect on Recovery After Mastectomy,Not yet recruiting,Interventional,"Active Comparator, Placebo Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
2020-3627-1407,"SSI Rates in Patients Undergoing Mastectomy Without Reconstruction- A Multicenter, Double-blinded RCT.",Unknown status,Interventional,"Active Comparator, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No
OTH267,Iraqi Trial for Lung Cancer Screening,Unknown status,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No
MF 22-02,Idiopathic Granulomatous Mastitis Combination Therapy,Recruiting,Interventional,"Active Comparator, Active Comparator","Procedure, Procedure",Parallel Assignment,Not Applicable,No,No
2019-0989,Trastuzumab Biosimilar (Samfenet®) Plus Treatment of Physicians Choice (TPC) in Patients With HER2-positive Solid Tumor,Unknown status,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 2,No,No
UCSD IIT 150729,Histology-Independent Study of Palbociclib in Patients With Advanced Cancer,Withdrawn,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No
P.T.REC/012/003464,Impact of Scapular Mobilization And Strengthening Exercises on Shoulder Function Post Mastectomy,Completed,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No
BPX603-201A,Safety and Activity Study of HER2-Targeted Dual Switch CAR-T Cells (BPX-603) in Subjects With HER2-Positive Solid Tumors,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,Yes,No
KEEP-G 07,Disitamab Vedotin Combined With Tislelizumab in Advanced HER2 Positive Colorectal Cancer,Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No
2021-0611,"Phase II Study of Pembrolizumab in Combination With Lenvatinib in Patients With TNBC, NSCLC, and Other Tumor Types and Brain Metastases",Recruiting,Interventional,"Other, Other, Other","Drug, Drug",Single Group Assignment,Phase 2,Yes,No
13022260-300-180785,Effect of Exercise in the Management of Peripheral Neuropathy,"Active, not recruiting",Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
INCB 123667-101,Study of INCB123667 in Subjects With Advanced Solid Tumors,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental",Drug,Sequential Assignment,Phase 1,Yes,No
ICO-2020-19,Clinico-biological Data Collection Study of Metastatic Lung Cancer,Not yet recruiting,Interventional,"Experimental, Experimental, Experimental",Procedure,Parallel Assignment,Not Applicable,No,No
CRUKD/21/004- Treatment Arm 4,"DETERMINE Trial Treatment Arm 4: Trastuzumab in Combination With Pertuzumab in Adult, Teenage/Young Adult and Paediatric Patients With Cancers With HER2 Amplification or Activating Mutations",Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,"Phase 2, Phase 3",No,No
NU22-09-00539,Prostate Cancer Screening With Abbreviated MRI Protocol,Recruiting,Interventional,Experimental,"Diagnostic Test, Diagnostic Test, Procedure",Single Group Assignment,Not Applicable,No,No
2019-A03336-51,Evaluation of Hypnosis in Virtual Reality on the Anxiety of Patients With Metastatic Prostate Cancer Over Chemotherapy,Recruiting,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No
09.2020.125,Efect of Erector Spina Plane Block on Mastectomy,Completed,Interventional,"Active Comparator, No Intervention",Procedure,Parallel Assignment,Not Applicable,No,No
ANAE-341-19,Improving Tissue Oxygenation in Breast Reconstruction Surgery,Recruiting,Interventional,"Experimental, No Intervention",Drug,Parallel Assignment,"Phase 1, Phase 2",No,No
01-2/141 27,Passive Microwave Radiometry (MWR) and AI for COVID-19 Complications Early Diagnostics of Lungs,Completed,Interventional,"Active Comparator, Active Comparator, Active Comparator",Diagnostic Test,Parallel Assignment,Not Applicable,No,No
KF2019#1,KF2019#1-trial: Effects of a Thrombocyte Inhibitor on a Cholesterol-lowering Drug,Recruiting,Interventional,"Placebo Comparator, Active Comparator","Drug, Drug, Drug",Crossover Assignment,Phase 1,No,No
Vein-project,Training of Arms to Reduce Pain With Peripheral Venous Catheter,Recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
thoracic sympathectomy,Radiofrequency Thoracic Sympathectomy for Chronic Postmastectomy Pain; Randomized Placebo Controlled Study,Completed,Interventional,"Experimental, Active Comparator","Procedure, Drug",Parallel Assignment,Not Applicable,No,No
20-240,Stereotactic Brain-directed Radiation With or Without Aguix Gadolinium-Based Nanoparticles in Brain Metastases,Recruiting,Interventional,"Experimental, Experimental","Radiation, Drug, Other",Parallel Assignment,Phase 2,Yes,No
Debio 1143-106,Study to Assess Safety and Efficacy of the Second Mitochondrial-derived Activator of Caspases (SMAC) Mimetic Debio 1143,Completed,Interventional,Experimental,"Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No
457,Diagnostic Value of Bronchoscopic and Thoracoscopic Frozen Section Biopsies in Patients With Pleuropulmonary Tumors,Not yet recruiting,Interventional,Other,Diagnostic Test,Single Group Assignment,Not Applicable,No,No
D8410C00001,Study of AZD9574 as Monotherapy and in Combination With Anti-cancer Agents in Participants With Advanced Solid Malignancies,Recruiting,Interventional,"Experimental, Experimental, Experimental","Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No
229510,Combination Therapy in Cancers With Mutations in DNA Repair Genes,Not yet recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug",Sequential Assignment,Phase 1,Yes,No
