ID,title,actual_duration,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device,enrollment_count
P.T.REC/012/003464,Impact of Scapular Mobilization And Strengthening Exercises on Shoulder Function Post Mastectomy,200 days,Completed,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,40
BPX603-201A,Safety and Activity Study of HER2-Targeted Dual Switch CAR-T Cells (BPX-603) in Subjects With HER2-Positive Solid Tumors,2217 days,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,Yes,No,220
KEEP-G 07,Disitamab Vedotin Combined With Tislelizumab in Advanced HER2 Positive Colorectal Cancer,1065 days,Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No,29
2021-0611,"Phase II Study of Pembrolizumab in Combination With Lenvatinib in Patients With TNBC, NSCLC, and Other Tumor Types and Brain Metastases",1196 days,Recruiting,Interventional,"Other, Other, Other","Drug, Drug",Single Group Assignment,Phase 2,Yes,No,104
13022260-300-180785,Effect of Exercise in the Management of Peripheral Neuropathy,971 days,"Active, not recruiting",Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,60
INCB 123667-101,Study of INCB123667 in Subjects With Advanced Solid Tumors,1486 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental",Drug,Sequential Assignment,Phase 1,Yes,No,155
ICO-2020-19,Clinico-biological Data Collection Study of Metastatic Lung Cancer,3287 days,Not yet recruiting,Interventional,"Experimental, Experimental, Experimental",Procedure,Parallel Assignment,Not Applicable,No,No,200
CRUKD/21/004- Treatment Arm 4,"DETERMINE Trial Treatment Arm 4: Trastuzumab in Combination With Pertuzumab in Adult, Teenage/Young Adult and Paediatric Patients With Cancers With HER2 Amplification or Activating Mutations",2400 days,Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,"Phase 2, Phase 3",No,No,30
NU22-09-00539,Prostate Cancer Screening With Abbreviated MRI Protocol,1340 days,Recruiting,Interventional,Experimental,"Diagnostic Test, Diagnostic Test, Procedure",Single Group Assignment,Not Applicable,No,No,300
2019-A03336-51,Evaluation of Hypnosis in Virtual Reality on the Anxiety of Patients With Metastatic Prostate Cancer Over Chemotherapy,1159 days,Recruiting,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No,60
09.2020.125,Efect of Erector Spina Plane Block on Mastectomy,116 days,Completed,Interventional,"Active Comparator, No Intervention",Procedure,Parallel Assignment,Not Applicable,No,No,42
ANAE-341-19,Improving Tissue Oxygenation in Breast Reconstruction Surgery,1603 days,Recruiting,Interventional,"Experimental, No Intervention",Drug,Parallel Assignment,"Phase 1, Phase 2",No,No,40
01-2/141 27,Passive Microwave Radiometry (MWR) and AI for COVID-19 Complications Early Diagnostics of Lungs,31 days,Completed,Interventional,"Active Comparator, Active Comparator, Active Comparator",Diagnostic Test,Parallel Assignment,Not Applicable,No,No,195
KF2019#1,KF2019#1-trial: Effects of a Thrombocyte Inhibitor on a Cholesterol-lowering Drug,234 days,Recruiting,Interventional,"Placebo Comparator, Active Comparator","Drug, Drug, Drug",Crossover Assignment,Phase 1,No,No,10
Vein-project,Training of Arms to Reduce Pain With Peripheral Venous Catheter,1037 days,Recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,84
thoracic sympathectomy,Radiofrequency Thoracic Sympathectomy for Chronic Postmastectomy Pain; Randomized Placebo Controlled Study,640 days,Completed,Interventional,"Experimental, Active Comparator","Procedure, Drug",Parallel Assignment,Not Applicable,No,No,70
20-240,Stereotactic Brain-directed Radiation With or Without Aguix Gadolinium-Based Nanoparticles in Brain Metastases,1600 days,Recruiting,Interventional,"Experimental, Experimental","Radiation, Drug, Other",Parallel Assignment,Phase 2,Yes,No,134
Debio 1143-106,Study to Assess Safety and Efficacy of the Second Mitochondrial-derived Activator of Caspases (SMAC) Mimetic Debio 1143,1094 days,Completed,Interventional,Experimental,"Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No,46
457,Diagnostic Value of Bronchoscopic and Thoracoscopic Frozen Section Biopsies in Patients With Pleuropulmonary Tumors,563 days,Not yet recruiting,Interventional,Other,Diagnostic Test,Single Group Assignment,Not Applicable,No,No,96
D8410C00001,Study of AZD9574 as Monotherapy and in Combination With Anti-cancer Agents in Participants With Advanced Solid Malignancies,1263 days,Recruiting,Interventional,"Experimental, Experimental, Experimental","Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No,195
229510,Combination Therapy in Cancers With Mutations in DNA Repair Genes,1735 days,Not yet recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug",Sequential Assignment,Phase 1,Yes,No,24
Estim Breast,Electrical Stimulation for Improving Postoperative Breast Sensation,792 days,Not yet recruiting,Interventional,"Experimental, Placebo Comparator","Device, Procedure",Single Group Assignment,Not Applicable,No,No,30
YS-RVON-001,Dose Escalation and Cohort Expansion Study of YS-ON-001 in Patients With Advanced Solid Tumors,686 days,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,Phase 1,No,No,41
RG1006143,Support Program for Adoption of Cancer Screening Interventions at a Rural Community-Based Organization,589 days,Completed,Interventional,Experimental,"Other, Other, Other",Single Group Assignment,Not Applicable,No,No,35
ZL-2306-914,Niraparib Monotherapy as Maintain and Recurrent Treatment of Endometrial Serous Carcinoma,909 days,Recruiting,Interventional,"Experimental, Experimental",Drug,Parallel Assignment,Phase 2,No,No,83
SNK01-102,Safety and Preliminary Efficacy of SNK01 in Combination With Trastuzumab or Cetuximab in Subjects With Advanced HER2 or EGFR Cancers,702 days,Withdrawn,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Biological, Drug, Drug",Parallel Assignment,"Phase 1, Phase 2",Yes,No,0
C4551001,Study of PF-07248144 in Advanced or Metastatic Solid Tumors,2183 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug, Drug",Sequential Assignment,Phase 1,Yes,No,186
ONT-380-011,Effects of Tucatinib on Cardiac Repolarization in Healthy Participants,95 days,Completed,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug",Crossover Assignment,Phase 1,Yes,No,55
KCSG-ST18-20,AZD8186 and Paclitaxel in Advanced Gastric Cancer,1327 days,Unknown status,Interventional,Experimental,Drug,Single Group Assignment,"Phase 1, Phase 2",No,No,49
HCC 20-117,GIST and Memory and Attention Adaptation Training,1236 days,Recruiting,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No,30
HEM-ONCO-013,CD276-targeted Chimeric Antigen Receptor T Cells in Treatment With Advanced Pancreatic Cancer,1096 days,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,"Phase 1, Phase 2",No,No,10
STUDY00002021,Study of Sulphoraphane in Chronic Kidney Disease,578 days,Recruiting,Interventional,"Experimental, Experimental, Experimental",Drug,Parallel Assignment,"Phase 1, Phase 2",Yes,No,24
22-501,Pathways to Advance Targeted and Helpful Serious Illness Conversations (PATH-SIC),1129 days,Enrolling by invitation,Interventional,"Experimental, No Intervention, Experimental, Experimental","Other, Other",Factorial Assignment,Not Applicable,No,No,800
OLATRA,Olaparib After Response to Trabectedin-pegylated Liposomal Doxorubicin in Recurrent Ovarian Carcinoma,1497 days,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,9
ELVN-002-001,ELVN-002 in HER2 Mutant Non-Small Cell Lung Cancer,1199 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug",Sequential Assignment,Phase 1,Yes,No,178
FN-1501-UP1,A Phase 1 Study to Evaluate FN-1501 Monotherapy in Patients With Advanced Solid Tumors and R/R AML,1299 days,Terminated,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No,67
RBN-2397-19-001,"Phase 1 Study of RBN-2397, an Oral PARP7 Inhibitor, in Patients With Solid Tumors",1460 days,Recruiting,Interventional,Experimental,Drug,Sequential Assignment,Phase 1,Yes,No,130
STUDY00000334,Efficacy of Paxman Scalp Cooling to Prevent Chemo Induced Alopecia in Black Patients With Breast or GYN Cancers,485 days,Completed,Interventional,"Other, No Intervention",Device,Single Group Assignment,Not Applicable,No,Yes,15
OPT-IN Research Protocol,"Real World Treatment Experience of Patients With Breast, Lung, or GI Cancer or Multiple Myeloma Using Remote Symptom Monitoring",426 days,Recruiting,Interventional,,Other,Single Group Assignment,Not Applicable,No,No,100
2017-A02018-45,OncoSNIPE - Study of Molecular Profiles Associated With the Development of Resistance in Solid Cancer Patients,1910 days,Unknown status,Interventional,Other,Other,Single Group Assignment,Not Applicable,No,No,600
CX-5461-04,"Study of CX-5461 in Patients With Solid Tumours and BRCA1/2, PALB2 or Homologous Recombination Deficiency (HRD) Mutation",997 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental",Drug,Sequential Assignment,Phase 1,Yes,No,52
MC16C2,Ginseng in Decreasing Cancer-Related Fatigue After Treatment in Cancer Survivors,724 days,Completed,Interventional,"Experimental, Placebo Comparator","Drug, Other, Other, Other",Crossover Assignment,Early Phase 1,Yes,No,2
NL75863.068.21,Magtrial: Magtrace® as Tracer for Sentinel Lymph Node Detection in Early Stage Epithelial Ovarian Cancer,853 days,Not yet recruiting,Interventional,"Experimental, Experimental",Device,Parallel Assignment,Not Applicable,No,No,10
20-009,Pre-consultation Compassion Among Patients Referred to a Cancer Center,426 days,Recruiting,Interventional,"Active Comparator, Experimental","Other, Other",Parallel Assignment,Not Applicable,No,No,470
PUMCH-NM-11/041,68Ga-P15-041 and 68Ga-PSMA-11 PET/CT Imaging in the Same Group of Prostate Bone Metastasis,395 days,Recruiting,Interventional,Experimental,"Drug, Drug",Single Group Assignment,"Phase 1, Phase 2",No,No,30
ISU104-001,"Study of ISU104, Targeting ERBB3 in Patients With Advanced Solid Tumors",1344 days,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Biological, Drug",Parallel Assignment,Phase 1,No,No,33
BR/2019/487,Binaural Music Study,77 days,Completed,Interventional,"No Intervention, Other, Other",Other,Parallel Assignment,Not Applicable,No,No,57
ATADEK/2022.11,Genital Laser Treatment in Postmenopausal Patients,365 days,Not yet recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,1
60116787-020/34123,Effect on Adaptation to Cancer of Mobile Application Developed for Gynecological Cancer Patients,153 days,Completed,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No,64
CHUB-Hystocor,Compare the Performance of Targeted Biopsy Versus Aspiration Biopsy With a Pipette for the Diagnosis of Endometrial Cancer,601 days,Withdrawn,Interventional,Experimental,"Procedure, Procedure",Single Group Assignment,Not Applicable,No,No,0
BLU-222-1101,(VELA) Study of BLU-222 in Advanced Solid Tumors,1637 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No,366
CHUBX 2015/17,Dynamic Contrast Enhanced Ultrasound for Predict and Assess Rectal Cancer Response After Neo-adjuvant Chemoradiation - RECT,204 days,Completed,Interventional,"Other, Other",Procedure,Parallel Assignment,Not Applicable,No,No,2
1766419-7,Storytelling Intervention for African Americans Living With Hypertension,214 days,Recruiting,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No,60
NUV-868-01,NUV-868 as Monotherapy and in Combination With Olaparib or Enzalutamide in Adult Patients With Advanced Solid Tumors,1405 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Drug, Drug, Drug",Sequential Assignment,"Phase 1, Phase 2",Yes,No,246
436,Effects of Clinical Pilates Exercises in Patients With Rheumatoid Arthritis,281 days,Unknown status,Interventional,"Experimental, Experimental, Experimental","Other, Other, Other",Parallel Assignment,Not Applicable,No,No,30
200155,"Phase I/II Trial Investigating the Safety, Tolerability, Pharmacokinetics, Immune and Clinical Activity of SX-682 in Combination With BinTrafusp Alfa (M7824 or TGF-beta Trap/PD-L1) With CV301 TRICOM in Advanced Solid Tumors (STAT)",1284 days,"Active, not recruiting",Interventional,"Experimental, Experimental, Experimental","Drug, Drug, Biological, Biological",Sequential Assignment,"Phase 1, Phase 2",Yes,No,12
2021-BRV-004,Scaffold-guided Breast Surgery,1466 days,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,20
EJC001,Compassion Meditation for Cancer Survivor-Caregiver Dyads,668 days,Completed,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,"Phase 1, Phase 2",No,No,82
PHOX-CLI_001,"First-in-human Trial of PhOx430, a First-in-class Acetylglucosaminyltransferase V Inhibitor, in Advanced Solid Tumours",1474 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,No,No,146
NICSO,NICSO National Study: Physician - Nurse Monitoring Project About Oncological Adverse Events,1432 days,Completed,Interventional,"Experimental, Placebo Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,645
BJK-Z-F18HN-202010-YZGK,Diagnostic Performance and Safety of 18F-NaF-PET/CT in Bone Metastases Compared With 99mTc⁃MDP-BS±SPECT,430 days,Completed,Interventional,"Experimental, Active Comparator","Drug, Drug",Crossover Assignment,Phase 3,No,No,280
A-ER-109-415,Effect of Reconditioning Exercise on Older Adults With Urinary Tract Cancer Following Curative Surgery,282 days,Recruiting,Interventional,"Experimental, Placebo Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,150
2-107-05-162,Investigation of the Strategy of Preventing Post-operative Opioid-induced Hyperalgesia,354 days,Unknown status,Interventional,"Experimental, No Intervention",Drug,Parallel Assignment,Phase 4,No,No,100
20.60-onco20.07,An Integrated Digital PROM-platform for Cancer Patients During the COVID-19 Pandemic,231 days,Completed,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,43
YBCSG-21-04,Granisetron Transdermal Patch for Prophylaxis of Delayed CINV,933 days,Not yet recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,No,No,140
SamanRostambeigi,Bisoprolol Administration to Prevent Anthracycline-induced Cardiotoxicity,385 days,Completed,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No,80
20190131,Study of AMG 650 in Adult Participants With Advanced Solid Tumors,1071 days,Completed,Interventional,"Experimental, Experimental, Experimental",Drug,Sequential Assignment,Phase 1,Yes,No,66
