ID,Study_Type,Arm_Group_Type,Intervention_Type,Interventional_Study_Model,Observational_Study_Model,Target_Duration,Sampling_Method,Phase
SGNB6A-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
MLB-PK-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
XmAb23104-01,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
2020-0439,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
CYH33-G102,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
20-410,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
202101,Interventional,Experimental,Behavioral,Crossover Assignment,,,,Not Applicable
NB-ND021 (NM21-1480)-101,Interventional,Experimental,Biological,Sequential Assignment,,,,"Phase 1, Phase 2"
SBT6050-101,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
17-262-01,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
UC-IMM-2101,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
ADCT-301-103,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
170177,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 2
TPST-1120-001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
180032,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
VICC SUPP 2112,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
IB2022-03,Interventional,Experimental,Other,Sequential Assignment,,,,Not Applicable
PR148/21,Interventional,Experimental,Radiation,Parallel Assignment,,,,Not Applicable
2020-117,Interventional,Other,Behavioral,Parallel Assignment,,,,Not Applicable
A9001502,Interventional,Other,Procedure,Single Group Assignment,,,,Not Applicable
NCI-2020-05428,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
2021-0175,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
CCT303-406-mST01,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
6B-20-1,Interventional,Experimental,Procedure,Single Group Assignment,,,,Early Phase 1
NRG-BN009,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
TCR2-21-01,Interventional,Experimental,Biological,Single Group Assignment,,,,"Phase 1, Phase 2"
NCI-2020-05956,Interventional,Experimental,Procedure,Single Group Assignment,,,,Phase 1
Pro9646,Observational,,Other,,Case-Control,,Non-Probability Sample,
CA052-002,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
IMX-110-001,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
IIR 17-127,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
WPH 2201,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
IRB20-0462,Interventional,No Intervention,Other,Parallel Assignment,,,,Not Applicable
XmAb808-01,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
2019-1091,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
INT156-19,Observational,,Drug,,Cohort,,Non-Probability Sample,
02-MX-003,Observational,,Diagnostic Test,,Cohort,,Probability Sample,
VAR-2022-04,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
Phase 1 SV-101,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
NYPC ERC# 2019-002,Interventional,Experimental,Radiation,Single Group Assignment,,,,Not Applicable
TTX-080-001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
P.T.REC/012/003744,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
P.T.REC/012/004199,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
Doaa Atef,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
09.2018.466,Observational,,Diagnostic Test,,Other,,Probability Sample,
0752-20-HMO,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
OCEL-01,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
ILBS-VASMPCa-103,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
NuTide:303,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
IC 2020-11_ALCINA4,Interventional,Other,Other,Parallel Assignment,,,,Not Applicable
AMT-151-01,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
MDNA11-01,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
SGNTGT-001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
PT199X1101,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
GB1275-1101 (KEYNOTE-A36),Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
IB2022-02,Observational,,,,Cohort,,Non-Probability Sample,
INCAGN 2385-101,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
IB 2017-01,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
INCAGN 2390-101,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
NU04,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
STUDY00001436,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
20430,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
STUDY00015588,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
IRB00092505,Interventional,Active Comparator,Radiation,Sequential Assignment,,,,Not Applicable
NX-1607-101,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
GLP-CDK-1009,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
0S-17-4,Observational,,Other,,Case-Only,,Non-Probability Sample,
Teleclub_cam,Interventional,Experimental,Other,Crossover Assignment,,,,Not Applicable
AS-IRB-BM-17056,Observational,,,,Cohort,4 Years,Probability Sample,
HZDH20-002,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
Pro00100029,Interventional,No Intervention,Behavioral,Parallel Assignment,,,,Not Applicable
2022-0712,Interventional,No Intervention,Behavioral,Factorial Assignment,,,,Not Applicable
2018-0439,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
CR109080,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
GIMI-IRB-20004,Interventional,Experimental,Biological,Single Group Assignment,,,,"Phase 1, Phase 2"
2020-0079-E,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
2020-3,Observational,,,,Case-Crossover,,Non-Probability Sample,
EOC317X1101,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
IRB00056774,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
EAQ202,Interventional,Other,Other,Parallel Assignment,,,,Early Phase 1
SYNERGY-AI,Observational,,Other,,Cohort,36 Months,Non-Probability Sample,
V937-013,Interventional,Experimental,Biological,Parallel Assignment,,,,"Phase 1, Phase 2"
10000045,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
19-006717,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
ATLAS-101,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
19-151,Interventional,No Intervention,Behavioral,Parallel Assignment,,,,Not Applicable
21-00715,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 3
TAC01-HER2-03,Interventional,Experimental,Biological,Single Group Assignment,,,,"Phase 1, Phase 2"
UW17009,Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
UMCC 2021.076,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
H19-04010,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
F/N-R19-3893L,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
CRUKD/21/005,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
Adela-EDMRD-001,Observational,,,,Case-Control,,Non-Probability Sample,
YXLL-KY-2022(057),Interventional,Active Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
ISI dV Xi-NSM,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
16712,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
HREBA.CC-20-0098,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
IPO/PI134,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
IMM2520-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
Cancer Genetic Counseling.PSI,Observational,,Other,,Cohort,,Non-Probability Sample,
OM-GRPR-02,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
17493,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
LOXO-IDH-20002,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
1623168,Interventional,Active Comparator,Behavioral,Parallel Assignment,,,,Not Applicable
11190071,Observational,,,,Cohort,3 Months,Non-Probability Sample,
PACT-0101,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
PROICM 2021-05 SER,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
IRB-300002068,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
0000-0001-5580-7256,Interventional,Experimental,Other,Crossover Assignment,,,,Not Applicable
2017-0319,Interventional,Experimental,Procedure,Single Group Assignment,,,,Phase 1
TRV-003,Observational,,,,Cohort,,Probability Sample,
ATOS-016R,Interventional,Placebo Comparator,Drug,Parallel Assignment,,,,Phase 2
HSP70CTC,Observational,,Diagnostic Test,,Cohort,3 Months,Probability Sample,
Pro00104093,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
VNC-236-101,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
DB-1303-O-1001,Interventional,Experimental,Biological,Single Group Assignment,,,,"Phase 1, Phase 2"
Metabolic Cancer 001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 3
POWER,Interventional,Experimental,Device,Parallel Assignment,,,,Phase 2
19-000756,Interventional,Experimental,Procedure,Single Group Assignment,,,,Early Phase 1
7339-002,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2018-001744-62,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
20-533,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
D9950C00001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
19-011472,Interventional,Experimental,Procedure,Single Group Assignment,,,,Phase 1
7684A-005,Interventional,Experimental,Biological,Parallel Assignment,,,,Phase 2
2017-0719,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
CBX-12-101,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
1801,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
MOHCCN-O,Observational,,,,Cohort,,Non-Probability Sample,
STU00209558,Observational,,Device,,Cohort,,Non-Probability Sample,
IJB-IRAES-2020,Interventional,,Drug,Single Group Assignment,,,,Phase 2
IRB00229163,Interventional,Other,Behavioral,Parallel Assignment,,,,Not Applicable
ON-1002,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
SGN47M-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
TP-CA-001,Observational,,Other,,Cohort,,Non-Probability Sample,
P-MUC1C-ALLO1-001,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
NTI1GSA,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
FT538-102,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
OHSN-REB#20170381-01H,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
H-43405 VISTA,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
QUILT-2.025,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
ZZTIL-012,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
202211038RINA,Observational,,,,Case-Control,5 Years,Non-Probability Sample,
20201421,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
YSCH-01-0000,Interventional,Experimental,Drug,Single Group Assignment,,,,Early Phase 1
SNB-101-101,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
1224/2018,Interventional,Active Comparator,Device,Parallel Assignment,,,,Not Applicable
438-IO-101,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
831-IO-101,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
BHP0120,Interventional,Experimental,Other,Parallel Assignment,,,,Phase 2
CDX527-01,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
HREBA.CC-22-0196,Observational,,,,Family-Based,,Non-Probability Sample,
Meet-URO 12,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
NC318-01,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
STR-004-001,Interventional,Other,Drug,Single Group Assignment,,,,Phase 2
Pro00103249,Interventional,Experimental,Behavioral,Crossover Assignment,,,,Not Applicable
21850,Interventional,Experimental,Device,Parallel Assignment,,,,Phase 1
180049,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
ARC-5 (AB928CSP0005),Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
201809177,Interventional,Experimental,Device,Parallel Assignment,,,,Phase 2
2020-2110,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 3
AVS4TL - 0921,Observational,,,,Other,,Probability Sample,
IIT2020-24-SHIRAZIP-BURN,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
PY159-2-01,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
C3651010,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
Palliach,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
DPM401,Observational,,,,Cohort,,Non-Probability Sample,
BR-DTX-OS-401,Observational,,,,Cohort,,Non-Probability Sample,
TAK-500-1001,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
PRT1419-02,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
IIT2020-13-GRESHAM-ELLY,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
2018-0663,Interventional,Experimental,Procedure,Single Group Assignment,,,,Phase 1
APHP190973,Observational,,Behavioral,,Cohort,,Non-Probability Sample,
C3441037,Interventional,Experimental,Drug,Crossover Assignment,,,,Phase 1
CE 07-14-2020,Interventional,Experimental,Radiation,Single Group Assignment,,,,Not Applicable
ELVCAP-001-01,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
202100484,Observational,,Procedure,,Cohort,,Probability Sample,
143631,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
ZZITICI-004,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 2, Phase 3"
QBS-72S-1001,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
2440LM-002,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
MX-011-219,Observational,,,,Cohort,,Non-Probability Sample,
VISTA-101,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
ZZICI3-015,Interventional,Experimental,Drug,Single Group Assignment,,,,"Phase 1, Phase 2"
ALS-6000-101,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
AA1809,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
PMV-586-101,Interventional,Experimental,Drug,Parallel Assignment,,,,"Phase 1, Phase 2"
R231-A14057,Observational,,Genetic,,Other,6 Months,Non-Probability Sample,
AMXT1501-102,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
201909133,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
ROOT,Observational,,Diagnostic Test,,Cohort,5 Years,Non-Probability Sample,
BBI-355-101,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
FPI-1966-101,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
MYCT001,Observational,,,,Case-Only,,Non-Probability Sample,
JAB-3312-1002,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
707-IO-101,Interventional,Experimental,Drug,Factorial Assignment,,,,"Phase 1, Phase 2"
UW18101,Interventional,Experimental,Dietary Supplement,Single Group Assignment,,,,Phase 3
JAB-3312-1001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
PAL-E602-001,Interventional,Experimental,Biological,Sequential Assignment,,,,"Phase 1, Phase 2"
340-74,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 1
PRO17070414,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
MAPreminder1,Interventional,No Intervention,Behavioral,Parallel Assignment,,,,Not Applicable
MFLeong,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
1100,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
MAPinitial,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
MAPreminder2,Interventional,No Intervention,Behavioral,Parallel Assignment,,,,Not Applicable
G190165,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
JSKN003-102,Interventional,Experimental,Drug,Sequential Assignment,,,,Phase 1
